;
;
IMPLANTE DE SILICONE INTRAVÍTREO;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
INFUSÃO DE PERFLUOCARBONO;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
TRATAMENTO OCULAR QUIMIOTERÁPICO COM ANTIANGIOGÊNICO (COM DIRETRIZ DE UTILIZAÇÃO);;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;Procedimento de Alta Complexidade;74;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
MEMBRANECTOMIA EPI OU SUB-RETINIANA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
RETIRADA DE CORPO ESTRANHO;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
RETIRADA DE ÓLEO DE SILICONE;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
TROCA FLUIDO GASOSA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
VITRECTOMIA A CÉU ABERTO - CERATOPRÓTESE;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;Seg. Odontológica;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;Procedimento de Alta Complexidade;Diretriz de Utilização;SUBGRUPO;GRUPO;CAPÍTULO;
VITRECTOMIA ANTERIOR;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
VITRECTOMIA VIAS PARS PLANA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;CORPO VÍTREO;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
BIÓPSIA DE ESCLERA;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ESCLERA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
ENXERTO DE ESCLERA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ESCLERA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
SUTURA DE ESCLERA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ESCLERA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
ENUCLEAÇÃO OU EVISCERAÇÃO COM OU SEM IMPLANTE;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;BULBO OCULAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
INJEÇÃO RETROBULBAR;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;BULBO OCULAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
RECONSTITUIÇÃO DE GLOBO OCULAR COM LESÃO DE ESTRUTURAS INTRA-OCULARES;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;BULBO OCULAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
BIÓPSIA DE ÍRIS E CORPO CILIAR;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
CICLOTERAPIA ANTIGLAUCOMATOSA;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
CIRURGIAS FISTULIZANTES ANTIGLAUCOMATOSAS COM OU SEM IMPLANTES DE DRENAGEM;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
CIRURGIA ANTIGLAUCOMATOSA VIA ANGULAR COM IMPLANTE DE STENT DE DRENAGEM POR TÉCNICA MINIMAMENTE INVASIVA (COM DIRETRIZ DE UTILIZAÇÃO);473/2021;08/11/2021;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;149;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
DRENAGEM DE DESCOLAMENTO DE CORÓIDE;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
FIXAÇÃO ESCLERAL OU IRIANA DE LENTE INTRA-OCULAR (EXCETO PARA CORREÇÃO ISOLADA DE DISTÚRBIOS DE Plano ReferênciaRAÇÃO);;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
FOTOTRABECULOPLASTIA (LASER);;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
GONIOTOMIA OU TRABECULOTOMIA;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
IRIDECTOMIA (LASER OU CIRÚRGICA);;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
IRIDOCICLECTOMIA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
SINEQUIOTOMIA (LASER OU CIRÚRGICA);;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ÍRIS E CORPO CILIAR;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;Seg. Odontológica;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;Procedimento de Alta Complexidade;Diretriz de Utilização;SUBGRUPO;GRUPO;CAPÍTULO;
BIÓPSIA DE MÚSCULOS;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;MÚSCULOS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
CIRURGIA COM SUTURA AJUSTÁVEL;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;MÚSCULOS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
ESTRABISMO CICLO VERTICAL/TRANSPOSIÇÃO;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;MÚSCULOS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
ESTRABISMO HORIZONTAL;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;MÚSCULOS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
INJEÇÃO OCULAR DE TOXINA BOTULÍNICA;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;Procedimento de Alta Complexidade;;MÚSCULOS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
APLICAÇÃO DE PLACA RADIATIVA EPISCLERAL;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
BIÓPSIA DE RETINA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
EXÉRESE DE TUMOR DE CORÓIDE E/OU CORPO CILIAR;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
FOTOCOAGULAÇÃO (LASER);;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
IMPLANTE INTRAVÍTREO DE POLÍMERO FARMACOLÓGICO DE LIBERAÇÃO CONTROLADA (COM DIRETRIZ DE UTILIZAÇÃO);;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;46;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
MAPEAMENTO DE RETINA (FUNDOSCOPIA);;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
PANCRIOTERAPIA PERIFÉRICA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
PANTOFOTOCOAGULAÇÃO Á LASER NA RETINOPATIA DA PREMATURIDADE (COM DIRETRIZ DE UTILIZAÇÃO);;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;59;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
REMOÇÃO DE IMPLANTE EPISCLERAL;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
RETINOPEXIA COM INTROFLEXÃO ESCLERAL;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
RETINOPEXIA PNEUMÁTICA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
RETINOPEXIA PROFILÁTICA (CRIOPEXIA);;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
TERMOTERAPIA TRANSPUPILAR A LASER (COM DIRETRIZ DE UTILIZAÇÃO);;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;66;RETINA;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
CIRURGIA DA GLÂNDULA LACRIMAL;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;VIAS LACRIMAIS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;Seg. Odontológica;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;Procedimento de Alta Complexidade;Diretriz de Utilização;SUBGRUPO;GRUPO;CAPÍTULO;
DACRIOCISTECTOMIA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;VIAS LACRIMAIS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
DACRIOCISTORRINOSTOMIA COM OU SEM INTUBAÇÃO;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;VIAS LACRIMAIS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
FECHAMENTO DOS PONTOS LACRIMAIS;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;VIAS LACRIMAIS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
RECONSTITUIÇÃO DE VIAS LACRIMAIS COM SILICONE OU OUTRO MATERIAL;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;VIAS LACRIMAIS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
SONDAGEM DAS VIAS LACRIMAIS - COM OU SEM LAVAGEM;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;VIAS LACRIMAIS;OLHOS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
BIÓPSIA DE PAVILHÃO AURICULAR;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
EXÉRESE DE TUMOR;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
EXÉRESE DE TUMOR COM ABORDAGEM CRANIOFACIAL ONCOLÓGICA PAVILHÃO AURICULAR (TEMPO FACIAL);;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
RECONSTRUÇÃO DE ORELHA;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
RECONSTRUÇÃO DE UNIDADE ANATÔMICA DO PAVILHÃO AURICULAR;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
RECONSTRUÇÃO TOTAL DE ORELHA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
RESSECÇÃO DE ORELHA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
RESSECÇÃO DE TUMOR DE PAVILHÃO AURICULAR, INCLUINDO PARTE DO OSSO TEMPORAL;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
TRATAMENTO CIRÚRGICO DE SINUS PRÉ-AURICULAR;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;PAVILHÃO AURICULAR;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
ASPIRAÇÃO AURICULAR OU CURATIVO;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA EXTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
BIÓPSIA DE ORELHA EXTERNA;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA EXTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
ESTENOSE DE CONDiretriz de UtilizaçãoO AUDITIVO EXTERNO - CORREÇÃO;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA EXTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
EXÉRESE DE CISTO PRÉ-AURICULAR;;;;Seg. Ambulatoria;;;Plano Referência;;;ORELHA EXTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
FURÚNCULO - DRENAGEM;;;;Seg. Ambulatoria;;;Plano Referência;;;ORELHA EXTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;Seg. Odontológica;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;Procedimento de Alta Complexidade;Diretriz de Utilização;SUBGRUPO;GRUPO;CAPÍTULO;
PERICONDRITE DE PAVILHÃO - TRATAMENTO CIRÚRGICO;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA EXTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
RETIRADA DE CORPOS ESTRANHOS OU PÓLIPOS E OU BIÓPSIA;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA EXTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
TUMOR DE CONDiretriz de UtilizaçãoO AUDITIVO EXTERNO - EXÉRESE;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA EXTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
CAUTERIZAÇÃO DE MEMBRANA TIMPÂNICA;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
DUCHA DE POLITZER OU CURATIVO DE OUVIDO;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
ESTAPEDECTOMIA OU ESTAPEDOTOMIA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
EXPLORAÇÃO E DESCOMPRESSÃO DO NERVO FACIAL INTRATEMPORAL;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
FÍSTULA PERILINFÁTICA - FECHAMENTO CIRÚRGICO;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
GLOMUS JUGULAR - RESSECÇÃO;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
GLOMUS TIMPÂNICUS - RESSECÇÃO;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
MASTOIDECTOMIA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
OUVIDO CONGÊNITO - TRATAMENTO CIRÚRGICO;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
PARACENTESE DO TÍMPANO - MIRINGOTOMIA;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
IMPLANTE DE PRÓTESE AUDITIVA ANCORADA NO OSSO (COM DIRETRIZ DE UTILIZAÇÃO);;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;Procedimento de Alta Complexidade;44;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
TÍMPANO-MASTOIDECTOMIA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
TIMPANOPLASTIA - MIRINGOPLASTIA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
TIMPANOPLASTIA COM RECONSTRUÇÃO DA CADEIA OSSICULAR;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
TIMPANOTOMIA EXPLORADORA;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
TIMPANOTOMIA PARA TUBO DE VENTILAÇÃO;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA MÉDIA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
PROCEDIMENTO;RN (alteração);VIGÊNCIA;Seg. Odontológica;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;Procedimento de Alta Complexidade;Diretriz de Utilização;SUBGRUPO;GRUPO;CAPÍTULO;
DOENÇA DE MENIERE - TRATAMENTO CIRÚRGICO - DESCOMPRESSÃO DO SACO ENDOLINFÁTICO OU "SHUNT";;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA INTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
ENXERTO INTRATEMPORAL DO NERVO FACIAL;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA INTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
EXPLORAÇÃO E DESCOMPRESSÃO DO NERVO FACIAL;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA INTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
IMPLANTE COCLEAR (COM DIRETRIZ DE UTILIZAÇÃO);;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;Procedimento de Alta Complexidade;33;ORELHA INTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
LABIRINTECTOMIA (MEMBRANOSA OU ÓSSEA) - SEM AUDIÇÃO;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA INTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
NEURECTOMIA VESTIBULAR PARA FOSSA MÉDIA OU POSTERIOR;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA INTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
NEURECTOMIA VESTIBULAR TRANSLABIRÍNTICA - SEM AUDIÇÃO;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA INTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
RESSECÇÃO DO OSSO TEMPORAL;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA INTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
TUMOR DO NERVO ACÚSTICO - RESSECÇÃO;;;;;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;ORELHA INTERNA;ORELHA;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
ABSCESSO OU HEMATOMA DE SEPTO NASAL - DRENAGEM COM OU SEM ANESTESIA GERAL;;;;Seg. Ambulatoria;Seg. Hospitalar Com Obstetrícia;Seg. Hospitalar Sem Obstetrícia;Plano Referência;;;NARIZ;NARIZ E SEIOS PARANASAIS;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS;
